Player,eff_s1,eff_s2,eff_s3,eff_delta,trajectory_type,position,team_s3,age_s3,wage_s1,wage_s3
Asier Villalibre,0.1504233577399283,-0.2460292669056514,0.243826344693776,0.09340298695384772,Other,Forwards,Alavés,26,1770000,720000
Atakan Karazor,-0.4992105133881654,-0.9123931178466264,-1.058314572639114,-0.5591040592509486,Rising Star,Midfielders,Stuttgart,27,470000,470000
Aurélien Tchouaméni,0.4488336717086465,0.4857471308905499,0.2321914066350032,-0.21664226507364331,Other,Midfielders,Real Madrid,24,12500000,12500000
Aurélio Buta,-0.8070490334334366,-0.8687872235890168,-0.5106537860909519,0.2963952473424847,Persistent Bargain,Defenders,Reims,27,480000,480000
Axel Witsel,0.7194489767175067,0.672544318352104,0.8791393210232261,0.15969034430571938,Persistent Overvalued,Defenders,Atlético Madrid,35,8330000,8330000
Aïssa Mandi,-0.2341794717523875,-0.2912639400431711,-0.251528672876427,-0.01734920112403948,Other,Defenders,Lille,32,1600000,1280000
Babis Lykogiannis,-0.3103597499143813,-0.4793558954446588,-0.4421234988693268,-0.13176374895494547,Persistent Bargain,Defenders,Bologna,30,930000,930000
Bafodé Diakité,-0.4576733413065224,-0.6635814402586071,0.4332550026382176,0.89092834394474,Wage Trap,Defenders,Lille,23,360000,1560000
Ben Chilwell,0.4341947494470357,0.3309196798598162,1.1757112482237009,0.7415164987766651,Wage Trap,Midfielders,Crystal Palace,27,12088660,12321370
Ben Davies,-0.4433487228466806,-0.3450295473673108,-0.5075320579252587,-0.0641833350785781,Persistent Bargain,Defenders,Tottenham Hotspur,31,4835464,4928548
Ben Johnson,-0.1529917367153519,-0.3531620831470476,0.6547960942740065,0.8077878309893585,Wage Trap,Midfielders,Ipswich Town,24,1208866,1848205
Ben Mee,-0.0034251937726192,0.2490809695063784,0.3120051024764265,0.31543029624904567,Other,Defenders,Brentford,34,3324382,3388377
Ben White,0.2333416630096838,-0.0107597318278553,0.2724226366877502,0.0390809736780664,Other,Defenders,Arsenal,26,7253196,9241027
Benjamin André,-0.0350061466244326,-0.2182332250981442,0.015619457470624,0.0506256040950566,Other,Midfielders,Lille,33,1560000,2160000
Benjamin Henrichs,-0.1450170887560986,-0.3822237192378921,0.3995302563845353,0.544547345140634,Wage Trap,Midfielders,RB Leipzig,27,3800000,7550000
Berat Djimsiti,-0.1123904026795976,-0.4145480210529939,-0.4419900875810949,-0.3295996849014973,Other,Defenders,Atalanta,31,1480000,1480000
Bernardo Silva,0.0605581269382273,0.4138514066733378,0.3530197657669944,0.2924616388287671,Other,Midfielders,Manchester City,29,9066495,18482055
Bernd Leno,0.3612122724875384,0.5690062319503344,0.4541080879091339,0.09289581542159547,Persistent Overvalued,Goalkeepers,Fulham,32,5439897,8008890
Beñat Turrientes,0.1930717046016319,-0.6476808562552492,0.1404483496906365,-0.0526233549109954,Other,Midfielders,Real Sociedad,22,500000,1250000
Bobby De Cordova-Reid,-0.6150000759469858,-0.5661497762158447,-0.7614462756726432,-0.14644619972565742,Persistent Bargain,Midfielders,Leicester City,31,2115516,2156240
Borja Mayoral,0.9480013951778988,1.2502769146321615,1.5219182036654022,0.5739168084875034,Wage Trap,Forwards,Getafe,27,4790000,4790000
Boubakary Soumaré,0.9829024078146826,0.9215601700848416,0.3884306778660971,-0.5944717299485855,Rising Star,Midfielders,Leicester City,25,4835464,4928548
Boulaye Dia,0.1808813684680235,0.908052683890519,-0.5164111981147865,-0.69729256658281,Rising Star,Midfielders,Lazio,27,1790000,2560000
Bradley Locko,-1.4982896710333886,0.4437052175641796,0.4859005813837846,1.9841902524171733,Wage Trap,Defenders,Brest,22,40000,500000
Brahim Díaz,-0.2591185245943421,-0.5759307986553068,-0.6796224884494606,-0.4205039638551185,Rising Star,Midfielders,Real Madrid,24,1920000,7290000
Brais Méndez,0.1184491627186847,-0.1232907532525331,-0.1073822893906637,-0.2258314521093484,Stable / Fair,Midfielders,Real Sociedad,27,2200000,2200000
Breel Embolo,0.4860328637741897,0.558602856029804,0.1744999553806678,-0.3115329083935219,Other,Forwards,Monaco,27,4020000,4020000
Brendan Chardonnet,-0.1932931452113671,-0.4837547011283067,0.3618261344584166,0.5551192796697837,Wage Trap,Defenders,Brest,29,540000,1280000
