Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Moussa Diarra,Alavés,La Liga,2024-2025,Defenders,23,350000,-0.0248019704124509,0.6070857817584917,0.6318877521709426
Bafodé Diakité,Lille,Ligue 1,2022-2023,Defenders,21,360000,-0.4576733413065224,-0.2283400816642184,0.2293332596423039
Bafodé Diakité,Lille,Ligue 1,2023-2024,Defenders,22,360000,-0.6635814402586071,-0.4342481806163031,0.229333259642304
Bafodé Diakité,Lille,Ligue 1,2024-2025,Defenders,23,1560000,0.4332550026382176,0.6625882622805216,0.229333259642304
Mouctar Diakhaby,Valencia,La Liga,2022-2023,Defenders,25,800000,-0.7328935515370336,-1.1677989637533193,-0.4349054122162856
Mouctar Diakhaby,Valencia,La Liga,2023-2024,Defenders,26,4000000,0.862999851725494,0.4280944395092083,-0.4349054122162856
Mouctar Diakhaby,Valencia,La Liga,2024-2025,Defenders,27,4000000,0.6893475696631217,0.254442157446836,-0.4349054122162856
Alessandro Di Pardo,Cagliari,Serie A,2023-2024,Defenders,24,280000,-0.7710002404414649,0.0110921250131328,0.7820923654545977
Giovanni Di Lorenzo,Napoli,Serie A,2022-2023,Defenders,28,4440000,0.2106089276776419,-0.0486938217693111,-0.259302749446953
Giovanni Di Lorenzo,Napoli,Serie A,2023-2024,Defenders,29,5560000,0.3071381248888052,0.0478353754418521,-0.259302749446953
Giovanni Di Lorenzo,Napoli,Serie A,2024-2025,Defenders,30,5560000,0.2601611957744119,0.0008584463274588,-0.259302749446953
Mikkel Desler,Toulouse,Ligue 1,2022-2023,Defenders,27,600000,0.1018549966099264,0.0460937748679519,-0.0557612217419745
Mikkel Desler,Toulouse,Ligue 1,2023-2024,Defenders,28,600000,-0.0239474007967448,-0.0797086225387193,-0.0557612217419744
Fabio Depaoli,Sampdoria,Serie A,2022-2023,Defenders,25,650000,0.1361655096590279,0.0663519189648314,-0.0698135906941965
Sepp van den Berg,Mainz 05,Bundesliga,2023-2024,Defenders,21,540000,-0.3124983196618913,-0.0651920066117339,0.2473063130501573
Sepp van den Berg,Brentford,Premier League,2024-2025,Defenders,22,1232137,-0.1821143064384234,0.0651920066117339,0.2473063130501573
Thomas Delaine,Strasbourg,Ligue 1,2023-2024,Defenders,31,520000,-0.7141426766111643,0.1152618471875973,0.8294045237987616
Enrico Del Prato,Parma,Serie A,2024-2025,Defenders,24,1670000,0.3983114093936333,-0.006376172392934,-0.4046875817865674
Koni De Winter,Empoli,Serie A,2022-2023,Defenders,20,150000,-0.4732973000433365,-0.5501859516023686,-0.0768886515590321
Koni De Winter,Genoa,Serie A,2023-2024,Defenders,21,740000,0.4568571132305745,0.3799684616715423,-0.0768886515590321
Koni De Winter,Genoa,Serie A,2024-2025,Defenders,22,740000,0.2471061414898585,0.1702174899308263,-0.0768886515590321
Thibault De Smet,Reims,Ligue 1,2022-2023,Defenders,24,150000,-1.183831092261931,-1.0748687018665497,0.1089623903953813
Thibault De Smet,Reims,Ligue 1,2023-2024,Defenders,25,720000,0.1481028099650014,0.2570652003603828,0.1089623903953813
Thibault De Smet,Reims,Ligue 1,2024-2025,Defenders,26,720000,0.268626246884871,0.3775886372802524,0.1089623903953814
Lorenzo De Silvestri,Bologna,Serie A,2022-2023,Defenders,34,1670000,0.3750216624644036,0.4619134519202186,0.086891789455815
Lorenzo De Silvestri,Bologna,Serie A,2023-2024,Defenders,35,1670000,0.3828675709174352,0.4697593603732501,0.086891789455815
Lorenzo De Silvestri,Bologna,Serie A,2024-2025,Defenders,36,370000,-1.2164242417754014,-1.1295324523195864,0.086891789455815
Mattia De Sciglio,Juventus,Serie A,2022-2023,Defenders,29,2780000,-0.385354114306093,-0.162513043908565,0.2228410703975279
Mattia De Sciglio,Empoli,Serie A,2024-2025,Defenders,31,930000,0.0572878697532814,0.2801289401508093,0.2228410703975279
Bobby De Cordova-Reid,Fulham,Premier League,2022-2023,Defenders,29,2115516,-0.6150000759469858,-0.022028190598478,0.5929718853485078
Craig Dawson,Wolves,Premier League,2023-2024,Defenders,33,2769826,0.1540905934763241,-0.0785676245739122,-0.2326582180502363
Craig Dawson,Wolves,Premier League,2024-2025,Defenders,34,2772308,0.3112258426241485,0.0785676245739122,-0.2326582180502363
Paweł Dawidowicz,Hellas Verona,Serie A,2022-2023,Defenders,27,380000,-0.7519584225330664,0.1962915221221663,0.9482499446552328
Paweł Dawidowicz,Hellas Verona,Serie A,2023-2024,Defenders,28,380000,-0.9912734510824226,-0.0430235064271897,0.9482499446552328
Paweł Dawidowicz,Hellas Verona,Serie A,2024-2025,Defenders,29,380000,-1.0687020606046556,-0.1204521159494227,0.9482499446552328
Ben Davies,Tottenham Hotspur,Premier League,2022-2023,Defenders,29,4835464,-0.4433487228466806,-0.0222937859387712,0.4210549369079093
Ben Davies,Tottenham Hotspur,Premier League,2023-2024,Defenders,30,4924135,-0.3450295473673108,0.0760253895405985,0.4210549369079093
Ben Davies,Tottenham Hotspur,Premier League,2024-2025,Defenders,31,4928548,-0.5075320579252587,-0.0864771210173493,0.4210549369079093
Alphonso Davies,Bayern Munich,Bundesliga,2022-2023,Defenders,21,11250000,0.988172342582386,0.2410703347918809,-0.7471020077905051
Alphonso Davies,Bayern Munich,Bundesliga,2023-2024,Defenders,22,11250000,0.7018210801066687,-0.0452809276838364,-0.7471020077905051
