target_team,season,club_annual_eur,position_group,suggested_player,current_team,comp,current_wage_EUR,efficiency_score,efficiency_pct,wage_as_pct_of_bill,value_rating
Chelsea,2024-2025,203953524,Forwards,Alfon,Celta Vigo,La Liga,140000,-2.4088933332075406,-91.00852548045931,0.000686430894913098,Exceptional
Chelsea,2024-2025,203953524,Forwards,Pau Victor,Barcelona,La Liga,380000,-2.0091280901333377,-86.5894448338033,0.0018631695719069801,Exceptional
Chelsea,2024-2025,203953524,Forwards,Pablo Durán,Celta Vigo,La Liga,140000,-1.9671298219685838,-86.01423028126085,0.000686430894913098,Exceptional
Chelsea,2024-2025,203953524,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.002304446575779686,Exceptional
Chelsea,2024-2025,203953524,Forwards,Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,120000,-1.850650731713996,-84.28651196131538,0.0005883693384969411,Exceptional
Chelsea,2024-2025,203953524,Goalkeepers,Marco Carnesecchi,Atalanta,Serie A,190000,-2.1656320138510115,-88.53225660376734,0.0009315847859534901,Exceptional
Chelsea,2024-2025,203953524,Goalkeepers,Christos Mandas,Lazio,Serie A,130000,-1.6468540116742538,-80.73449532290863,0.0006374001167050196,Exceptional
Chelsea,2024-2025,203953524,Goalkeepers,Fran Vieites,Real Betis,La Liga,160000,-1.6217621109731297,-80.24497133247918,0.0007844924513292548,Exceptional
Chelsea,2024-2025,203953524,Goalkeepers,Ørjan Nyland,Sevilla,La Liga,730000,-1.4473474432662403,-76.48066749538577,0.003579246809189725,Exceptional
Chelsea,2024-2025,203953524,Goalkeepers,Caoimhín Kelleher,Liverpool,Premier League,616068,-1.4414268880532006,-76.34100696273055,0.003020629346909446,Exceptional
Arsenal,2024-2025,200749422,Defenders,César Tárrega,Valencia,La Liga,200000,-1.8669456043403798,-84.5404863873175,0.0009962668784172142,Exceptional
Arsenal,2024-2025,200749422,Defenders,Jesús Vallejo,Real Madrid,La Liga,1800000,-1.7284046675232112,-82.24325367312416,0.008966401905754927,Exceptional
Arsenal,2024-2025,200749422,Defenders,Nicolò Savona,Juventus,Serie A,370000,-1.6975365209301803,-81.68658841254761,0.001843093725071846,Exceptional
Arsenal,2024-2025,200749422,Defenders,Alessio Iovine,Como,Serie A,150000,-1.6531003559921995,-80.85445924056243,0.0007472001588129106,Exceptional
Arsenal,2024-2025,200749422,Defenders,Iglesias,Getafe,La Liga,180000,-1.5587960024766172,-78.96107731211129,0.0008966401905754927,Exceptional
Arsenal,2024-2025,200749422,Midfielders,Pablo Torre,Barcelona,La Liga,210000,-3.060094488817752,-95.31167349335968,0.0010460802223380748,Exceptional
Arsenal,2024-2025,200749422,Midfielders,Seydouba Cissé,Leganés,La Liga,30000,-2.321144410175787,-90.1838815358345,0.0001494400317625821,Exceptional
Arsenal,2024-2025,200749422,Midfielders,Andy Irving,West Ham United,Premier League,308034,-2.0736692443011027,-87.42763763514388,0.0015344203581318407,Exceptional
Arsenal,2024-2025,200749422,Midfielders,Toby Collyer,Manchester Utd,Premier League,308034,-1.9478365312489494,-85.74177897014765,0.0015344203581318407,Exceptional
Arsenal,2024-2025,200749422,Midfielders,Marc Casado,Barcelona,La Liga,520000,-1.9343826160647524,-85.54865384227729,0.0025902938838847566,Exceptional
Arsenal,2024-2025,200749422,Forwards,Alfon,Celta Vigo,La Liga,140000,-2.4088933332075406,-91.00852548045931,0.0006973868148920498,Exceptional
Arsenal,2024-2025,200749422,Forwards,Pau Victor,Barcelona,La Liga,380000,-2.0091280901333377,-86.5894448338033,0.0018929070689927068,Exceptional
Arsenal,2024-2025,200749422,Forwards,Pablo Durán,Celta Vigo,La Liga,140000,-1.9671298219685838,-86.01423028126085,0.0006973868148920498,Exceptional
Arsenal,2024-2025,200749422,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.002341227164280453,Exceptional
Arsenal,2024-2025,200749422,Forwards,Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,120000,-1.850650731713996,-84.28651196131538,0.0005977601270503284,Exceptional
Arsenal,2024-2025,200749422,Goalkeepers,Marco Carnesecchi,Atalanta,Serie A,190000,-2.1656320138510115,-88.53225660376734,0.0009464535344963534,Exceptional
Arsenal,2024-2025,200749422,Goalkeepers,Christos Mandas,Lazio,Serie A,130000,-1.6468540116742538,-80.73449532290863,0.0006475734709711892,Exceptional
Arsenal,2024-2025,200749422,Goalkeepers,Fran Vieites,Real Betis,La Liga,160000,-1.6217621109731297,-80.24497133247918,0.0007970135027337712,Exceptional
