Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
Brighton,Lewis Dunk,ENG,DF,31.0,"£ 80,000 (€ 94,695, $101,763)","£ 4,160,000 (€ 4,924,135, $5,291,680)",Unverified estimation
Bologna,Lewis Ferguson,SCO,MF,23.0,"€ 14,808 (£ 12,510, $15,913)","€ 770,000 (£ 650,518, $827,476)",Unverified estimation
Newcastle United,Lewis Hall,ENG,DF,18.0,"£ 7,000 (€ 8,286, $8,904)","£ 364,000 (€ 430,862, $463,022)",Unverified estimation
Newcastle United,Lewis Miley,ENG,MF,17.0,"£ 5,000 (€ 5,918, $6,360)","£ 260,000 (€ 307,758, $330,730)",Unverified estimation
Empoli,Liberato Cacace,NZL,"DF,MF",22.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
Brest,Lilian Brassier,FRA,DF,23.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Stuttgart,Lilian Egloff,GER,MF,20.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Köln,Linton Maina,GER,MF,24.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Manchester Utd,Lisandro Martínez,ARG,DF,25.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Bournemouth,Lloyd Kelly,ENG,DF,24.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",
Toulouse,Logan Costa,CPV,DF,22.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",Unverified estimation
Rennes,Lorenz Assignon,TOG,DF,23.0,"€ 10,577 (£ 8,936, $11,366)","€ 550,000 (£ 464,656, $591,055)",Unverified estimation
Fiorentina,Lorenzo Amatucci,ITA,MF,19.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Monza,Lorenzo Colombo,ITA,FW,21.0,"€ 10,769 (£ 9,098, $11,573)","€ 560,000 (£ 473,104, $601,801)",
Bologna,Lorenzo De Silvestri,ITA,DF,35.0,"€ 32,115 (£ 27,132, $34,513)","€ 1,670,000 (£ 1,410,865, $1,794,657)",
Udinese,Lorenzo Lucca,ITA,FW,22.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Hellas Verona,Lorenzo Montipò,ITA,GK,27.0,"€ 9,615 (£ 8,123, $10,333)","€ 500,000 (£ 422,415, $537,322)",
Roma,Lorenzo Pellegrini,ITA,MF,27.0,"€ 124,615 (£ 105,279, $133,917)","€ 6,480,000 (£ 5,474,492, $6,963,698)",
Salernitana,Lorenzo Pirola,ITA,DF,21.0,"€ 10,769 (£ 9,098, $11,573)","€ 560,000 (£ 473,104, $601,801)",Unverified estimation
Empoli,Lorenzo Tonelli,ITA,CB,34.0,"€ 26,731 (£ 22,583, $28,726)","€ 1,390,000 (£ 1,174,312, $1,493,756)",
Lecce,Lorenzo Venuti,ITA,DF,28.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Newcastle United,Loris Karius,GER,GK,30.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",
Lorient,Loris Mouyokolo,FRA,DF,22.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Salernitana,Loum Tchaouna,FRA,"MF,FW",19.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Wolfsburg,Lovro Majer,CRO,"MF,FW",25.0,"€ 90,769 (£ 76,684, $97,545)","€ 4,720,000 (£ 3,987,593, $5,072,323)",
Empoli,Lovro Štubljar,SVN,GK,18.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Sevilla,Loïc Bade,FRA,DF,23.0,"€ 63,462 (£ 53,614, $68,199)","€ 3,300,000 (£ 2,787,936, $3,546,328)",
Le Havre,Loïc Nego,HUN,"MF,DF",32.0,"€ 7,692 (£ 6,499, $8,267)","€ 400,000 (£ 337,932, $429,858)",Unverified estimation
RB Leipzig,Loïs Openda,BEL,FW,23.0,"€ 108,846 (£ 91,956, $116,971)","€ 5,660,000 (£ 4,781,733, $6,082,489)",
Empoli,Luca Belardinelli,ITA,CM,22.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",Unverified estimation
Monza,Luca Caldirola,ITA,DF,32.0,"€ 24,231 (£ 20,471, $26,039)","€ 1,260,000 (£ 1,064,485, $1,354,052)",Unverified estimation
Frosinone,Luca Garritano,ITA,MF,29.0,"€ 12,885 (£ 10,885, $13,846)","€ 670,000 (£ 566,035, $720,012)",
Torino,Luca Gemello,ITA,GK,23.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",
Köln,Luca Kilian,GER,DF,23.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Burnley,Luca Koleosho,ITA,"MF,FW",18.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Sassuolo,Luca Lipani,ITA,MF,18.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Frosinone,Luca Mazzitelli,ITA,MF,27.0,"€ 49,808 (£ 42,079, $53,526)","€ 2,590,000 (£ 2,188,107, $2,783,330)",
Gladbach,Luca Netz,GER,"MF,DF",20.0,"€ 46,154 (£ 38,992, $49,599)","€ 2,400,000 (£ 2,027,590, $2,579,147)",Unverified estimation
Lazio,Luca Pellegrini,ITA,DF,24.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",
Darmstadt 98,Luca Pfeiffer,GER,"FW,MF",26.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Hoffenheim,Luca Philipp,GER,GK,22.0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",Unverified estimation
Fiorentina,Luca Ranieri,ITA,DF,24.0,"€ 32,115 (£ 27,132, $34,513)","€ 1,670,000 (£ 1,410,865, $1,794,657)",Unverified estimation
Köln,Luca Waldschmidt,GER,MF,27.0,"€ 65,385 (£ 55,239, $70,265)","€ 3,400,000 (£ 2,872,419, $3,653,792)",Unverified estimation
Celta Vigo,Luca de la Torre,USA,MF,25.0,"€ 5,192 (£ 4,387, $5,580)","€ 270,000 (£ 228,104, $290,154)",Unverified estimation
Eintracht Frankfurt,Lucas Alario,ARG,CF,30.0,"€ 48,077 (£ 40,617, $51,666)","€ 2,500,000 (£ 2,112,073, $2,686,612)",
Fiorentina,Lucas Beltrán,ARG,"FW,MF",22.0,"€ 44,423 (£ 37,530, $47,739)","€ 2,310,000 (£ 1,951,555, $2,482,429)",
Granada,Lucas Boyé,ARG,FW,27.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Lille,Lucas Chevalier,FRA,GK,21.0,"€ 21,923 (£ 18,521, $23,560)","€ 1,140,000 (£ 963,105, $1,225,095)",Unverified estimation
Aston Villa,Lucas Digne,FRA,DF,30.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Paris Saint-Germain,Lucas Hernández,FRA,DF,27.0,"€ 365,385 (£ 308,688, $392,659)","€ 19,000,000 (£ 16,051,753, $20,418,249)",
Freiburg,Lucas Höler,GER,"FW,MF",29.0,"€ 10,000 (£ 8,448, $10,746)","€ 520,000 (£ 439,311, $558,815)",Unverified estimation
Fiorentina,Lucas Martínez Quarta,ARG,DF,27.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",
Sevilla,Lucas Ocampos,ARG,"MF,FW",29.0,"€ 32,692 (£ 27,619, $35,133)","€ 1,700,000 (£ 1,436,209, $1,826,896)",
West Ham United,Lucas Paquetá,BRA,MF,25.0,"£ 150,000 (€ 177,553, $190,806)","£ 7,800,000 (€ 9,232,753, $9,921,900)",
Strasbourg,Lucas Perrin,FRA,DF,24.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Cádiz,Lucas Pires,,LB,22.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
Almería,Lucas Robertone,ARG,MF,26.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Osasuna,Lucas Torró,ESP,MF,29.0,"€ 14,423 (£ 12,185, $15,500)","€ 750,000 (£ 633,622, $805,984)",Unverified estimation
Union Berlin,Lucas Tousart,FRA,MF,26.0,"€ 50,000 (£ 42,241, $53,732)","€ 2,600,000 (£ 2,196,556, $2,794,076)",Unverified estimation
Real Madrid,Lucas Vázquez,ESP,DF,32.0,"€ 180,385 (£ 152,394, $193,849)","€ 9,380,000 (£ 7,924,497, $10,080,167)",
Inter,Lucien Agoume,FRA,MF,21.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",
Mainz 05,Ludovic Ajorque,FRA,FW,29.0,"€ 41,538 (£ 35,093, $44,639)","€ 2,160,000 (£ 1,824,831, $2,321,233)",Unverified estimation
Rennes,Ludovic Blas,FRA,"MF,FW",25.0,"€ 50,000 (£ 42,241, $53,732)","€ 2,600,000 (£ 2,196,556, $2,794,076)",Unverified estimation
Reims,Ludovic Butelle,FRA,GK,40.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Lazio,Luigi Sepe,ITA,GK,32.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",
Lazio,Luis Alberto,ESP,MF,30.0,"€ 142,500 (£ 120,388, $153,137)","€ 7,410,000 (£ 6,260,183, $7,963,117)",
Liverpool,Luis Díaz,COL,FW,26.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",
Cádiz,Luis Hernández,ESP,DF,34.0,"€ 12,115 (£ 10,235, $13,020)","€ 630,000 (£ 532,242, $677,026)",Unverified estimation
Almería,Luis Javier Suárez,COL,"FW,MF",25.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Getafe,Luis Milla,ESP,MF,28.0,"€ 15,000 (£ 12,672, $16,120)","€ 780,000 (£ 658,967, $838,223)",Unverified estimation
Atalanta,Luis Muriel,COL,FW,32.0,"€ 44,423 (£ 37,530, $47,739)","€ 2,310,000 (£ 1,951,555, $2,482,429)",
Alavés,Luis Rioja,ESP,MF,29.0,"€ 15,769 (£ 13,322, $16,946)","€ 820,000 (£ 692,760, $881,209)",Unverified estimation
Bournemouth,Luis Sinisterra,COL,MF,24.0,"£ 65,000 (€ 76,940, $82,683)","£ 3,380,000 (€ 4,000,860, $4,299,490)",Unverified estimation
Real Betis,Luiz Henrique,BRA,MF,22.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Heidenheim,Luka Janes,GER,MF,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Milan,Luka Jović,SRB,FW,25.0,"€ 61,731 (£ 52,152, $66,339)","€ 3,210,000 (£ 2,711,901, $3,449,609)",
Real Madrid,Luka Modrić,CRO,MF,37.0,"€ 420,769 (£ 355,478, $452,177)","€ 21,880,000 (£ 18,484,860, $23,513,226)",
Milan,Luka Romero,ARG,MF,18.0,"€ 19,808 (£ 16,734, $21,286)","€ 1,030,000 (£ 870,174, $1,106,884)",
Bochum,Lukas Daschner,GER,"FW,MF",24.0,"€ 9,615 (£ 8,123, $10,333)","€ 500,000 (£ 422,415, $537,322)",Unverified estimation
RB Leipzig,Lukas Klostermann,GER,DF,27.0,"€ 100,000 (£ 84,483, $107,464)","€ 5,200,000 (£ 4,393,111, $5,588,152)",
Freiburg,Lukas Kübler,GER,DF,30.0,"€ 7,500 (£ 6,336, $8,060)","€ 390,000 (£ 329,483, $419,111)",Unverified estimation
Wolfsburg,Lukas Nmecha,GER,FW,24.0,"€ 38,462 (£ 32,493, $41,332)","€ 2,000,000 (£ 1,689,658, $2,149,289)",Unverified estimation
Gladbach,Lukas Ullrich,GER,DF,19.0,"€ 7,692 (£ 6,499, $8,267)","€ 400,000 (£ 337,932, $429,858)",Unverified estimation
Luton Town,Luke Berry,ENG,MF,31.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Fulham,Luke Harris,,AM,18.0,"£ 12,500 (€ 14,796, $15,900)","£ 650,000 (€ 769,396, $826,825)",Unverified estimation
Manchester Utd,Luke Shaw,ENG,DF,28.0,"£ 150,000 (€ 177,553, $190,806)","£ 7,800,000 (€ 9,232,753, $9,921,900)",
Sheffield United,Luke Thomas,ENG,"MF,DF",22.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",
Leverkusen,Lukáš Hrádecký,FIN,GK,33.0,"€ 50,000 (£ 42,241, $53,732)","€ 2,600,000 (£ 2,196,556, $2,794,076)",
Almería,Luís Maximiano,POR,GK,24.0,"€ 40,000 (£ 33,793, $42,986)","€ 2,080,000 (£ 1,757,244, $2,235,261)",
Burnley,Lyle Foster,RSA,"FW,MF",22.0,"£ 32,500 (€ 38,470, $41,341)","£ 1,690,000 (€ 2,000,430, $2,149,745)",Unverified estimation
Bochum,Lys Mousset,FRA,CF,27.0,"€ 23,654 (£ 19,983, $25,419)","€ 1,230,000 (£ 1,039,140, $1,321,813)",
Almería,Lázaro,BRA,MF,21.0,"€ 7,692 (£ 6,499, $8,267)","€ 400,000 (£ 337,932, $429,858)",Unverified estimation
Genoa,Léandre Kuavita,BEL,CM,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Almería,Léo Baptistão,BRA,"FW,MF",30.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Montpellier,Léo Leroy,FRA,MF,23.0,"€ 5,000 (£ 4,224, $5,373)","€ 260,000 (£ 219,656, $279,408)",Unverified estimation
Fiorentina,M'Bala Nzola,ANG,FW,26.0,"€ 53,462 (£ 45,166, $57,452)","€ 2,780,000 (£ 2,348,625, $2,987,512)",
Leverkusen,Madi Monamay,BEL,CB,17.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Luton Town,Mads Juel Andersen,DEN,DF,25.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Augsburg,Mads Pedersen,DEN,"DF,MF",26.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Brentford,Mads Roerslev,DEN,"MF,DF",24.0,"£ 20,000 (€ 23,674, $25,441)","£ 1,040,000 (€ 1,231,034, $1,322,920)",Unverified estimation
Udinese,Maduka Okoye,NGA,GK,23.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",Unverified estimation
Monaco,Maghnes Akliouche,FRA,MF,21.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Brest,Mahdi Camara,FRA,MF,25.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Brighton,Mahmoud Dahoud,GER,MF,27.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",Unverified estimation
Eintracht Frankfurt,Makoto Hasebe,JPN,"MF,DF",39.0,"€ 26,923 (£ 22,745, $28,933)","€ 1,400,000 (£ 1,182,761, $1,504,503)",Unverified estimation
Chelsea,Malang Sarr,FRA,CB,24.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Crystal Palace,Malcolm Ebiowei,ENG,MF,19.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Metz,Malick Mbaye,SEN,MF,19.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Milan,Malick Thiaw,GER,DF,21.0,"€ 19,808 (£ 16,734, $21,286)","€ 1,030,000 (£ 870,174, $1,106,884)",
Chelsea,Malo Gusto,FRA,"DF,MF",20.0,"£ 45,000 (€ 53,266, $57,242)","£ 2,340,000 (€ 2,769,826, $2,976,570)",Unverified estimation
Lyon,Mama Samba Baldé,GNB,FW,27.0,"€ 14,615 (£ 12,348, $15,706)","€ 760,000 (£ 642,070, $816,730)",
Gladbach,Mamadou Doucouré,FRA,CB,25.0,"€ 10,385 (£ 8,773, $11,160)","€ 540,000 (£ 456,208, $580,308)",Unverified estimation
Montpellier,Mamadou Sakho,FRA,DF,33.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",Unverified estimation
Lyon,Mamadou Sarr,SEN,DF,17.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",Unverified estimation
Toulouse,Mamady Bangré,BFA,MF,22.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Tottenham Hotspur,Manor Solomon,ISR,MF,24.0,"£ 60,000 (€ 71,021, $76,322)","£ 3,120,000 (€ 3,693,101, $3,968,760)",
Gladbach,Manu Koné,FRA,MF,22.0,"€ 36,923 (£ 31,194, $39,679)","€ 1,920,000 (£ 1,622,072, $2,063,318)",Unverified estimation
Mallorca,Manu Morlanes,ESP,MF,24.0,"€ 25,192 (£ 21,283, $27,073)","€ 1,310,000 (£ 1,106,726, $1,407,785)",Unverified estimation
Celta Vigo,Manu Sánchez,ESP,"DF,MF",22.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Villarreal,Manu Trigueros,ESP,MF,31.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Manchester City,Manuel Akanji,SUI,"DF,MF",28.0,"£ 180,000 (€ 213,064, $228,967)","£ 9,360,000 (€ 11,079,304, $11,906,280)",
Freiburg,Manuel Gulde,GER,DF,32.0,"€ 9,231 (£ 7,798, $9,920)","€ 480,000 (£ 405,518, $515,829)",Unverified estimation
Lazio,Manuel Lazzari,ITA,DF,29.0,"€ 60,577 (£ 51,177, $65,099)","€ 3,150,000 (£ 2,661,212, $3,385,131)",
Juventus,Manuel Locatelli,ITA,MF,25.0,"€ 117,500 (£ 99,267, $126,271)","€ 6,110,000 (£ 5,161,906, $6,566,079)",
Bayern Munich,Manuel Neuer,GER,GK,37.0,"€ 403,846 (£ 341,181, $433,991)","€ 21,000,000 (£ 17,741,411, $22,567,539)",
Bochum,Manuel Riemann,GER,GK,34.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",Unverified estimation
Paris Saint-Germain,Manuel Ugarte,URU,MF,22.0,"€ 118,846 (£ 100,405, $127,717)","€ 6,180,000 (£ 5,221,044, $6,641,304)",
Roma,Marash Kumbulla,ALB,DF,23.0,"€ 64,038 (£ 54,102, $68,819)","€ 3,330,000 (£ 2,813,281, $3,578,567)",
Real Betis,Marc Bartra,ESP,DF,32.0,"€ 40,000 (£ 33,793, $42,986)","€ 2,080,000 (£ 1,757,244, $2,235,261)",Unverified estimation
Las Palmas,Marc Cardona,ESP,FW,28.0,"€ 12,115 (£ 10,235, $13,020)","€ 630,000 (£ 532,242, $677,026)",Unverified estimation
Chelsea,Marc Cucurella,ESP,DF,25.0,"£ 175,000 (€ 207,145, $222,607)","£ 9,100,000 (€ 10,771,545, $11,575,550)",
Crystal Palace,Marc Guéhi,ENG,DF,23.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Almería,Marc Pubill,ESP,DF,20.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Real Betis,Marc Roca,ESP,MF,26.0,"€ 58,269 (£ 49,228, $62,619)","€ 3,030,000 (£ 2,559,832, $3,256,173)",Unverified estimation
Barcelona,Marc-André ter Stegen,GER,GK,31.0,"€ 121,154 (£ 102,354, $130,197)","€ 6,300,000 (£ 5,322,423, $6,770,262)",Unverified estimation
Metz,Marc-Aurèle Caillard,FRA,GK,29.0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",Unverified estimation
Dortmund,Marcel Lotka,POL,GK,22.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Augsburg,Marcel Lubik,,GK,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Dortmund,Marcel Sabitzer,AUT,MF,29.0,"€ 144,231 (£ 121,850, $154,997)","€ 7,500,000 (£ 6,336,218, $8,059,835)",
Darmstadt 98,Marcel Schuhen,GER,GK,30.0,"€ 14,423 (£ 12,185, $15,500)","€ 750,000 (£ 633,622, $805,984)",Unverified estimation
Eintracht Frankfurt,Marcel Wenig,GER,CM,19.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Nice,Marcin Bułka,POL,GK,23.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Lecce,Marcin Listkowski,POL,"FW,MF",25.0,"€ 4,231 (£ 3,574, $4,547)","€ 220,000 (£ 185,862, $236,422)",
Paris Saint-Germain,Marco Asensio,ESP,FW,27.0,"€ 279,808 (£ 236,390, $300,694)","€ 14,550,000 (£ 12,292,263, $15,636,080)",
Udinese,Marco Ballarini,ITA,CM,22.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Brest,Marco Bizot,NED,GK,32.0,"€ 17,500 (£ 14,785, $18,806)","€ 910,000 (£ 768,794, $977,927)",Unverified estimation
Frosinone,Marco Brescianini,ITA,MF,23.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Atalanta,Marco Carnesecchi,ITA,GK,23.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",
Werder Bremen,Marco Friedl,AUT,DF,25.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Hoffenheim,Marco John,GER,LB,21.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Cagliari,Marco Mancosu,ITA,"MF,FW",34.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Milan,Marco Pellegrino,ARG,DF,21.0,"€ 10,769 (£ 9,098, $11,573)","€ 560,000 (£ 473,104, $601,801)",
Dortmund,Marco Reus,GER,"MF,FW",34.0,"€ 134,615 (£ 113,727, $144,664)","€ 7,000,000 (£ 5,913,804, $7,522,513)",
Mainz 05,Marco Richter,GER,MF,25.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Udinese,Marco Silvestri,ITA,GK,32.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Milan,Marco Sportiello,ITA,GK,31.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",
Sevilla,Marcos Acuña,ARG,DF,31.0,"€ 55,769 (£ 47,115, $59,932)","€ 2,900,000 (£ 2,450,004, $3,116,470)",Unverified estimation
Barcelona,Marcos Alonso,ESP,DF,32.0,"€ 120,192 (£ 101,542, $129,164)","€ 6,250,000 (£ 5,280,182, $6,716,529)",
Atlético Madrid,Marcos Llorente,ESP,"MF,FW",28.0,"€ 160,192 (£ 135,335, $172,150)","€ 8,330,000 (£ 7,037,426, $8,951,790)",
Bournemouth,Marcos Senesi,ARG,DF,26.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Chelsea,Marcus Bettinelli,ENG,GK,31.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",
Nantes,Marcus Coco,FRA,"MF,DF",27.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Sassuolo,Marcus Pedersen,NOR,DF,23.0,"€ 5,962 (£ 5,036, $6,407)","€ 310,000 (£ 261,897, $333,140)",Unverified estimation
Manchester Utd,Marcus Rashford,ENG,"MF,FW",25.0,"£ 300,000 (€ 355,106, $381,612)","£ 15,600,000 (€ 18,465,506, $19,843,801)",
Bournemouth,Marcus Tavernier,ENG,MF,24.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
Inter,Marcus Thuram,FRA,FW,25.0,"€ 147,885 (£ 124,937, $158,923)","€ 7,690,000 (£ 6,496,736, $8,264,018)",
Sevilla,Marcão,BRA,DF,27.0,"€ 84,231 (£ 71,161, $90,518)","€ 4,380,000 (£ 3,700,351, $4,706,944)",
Fulham,Marek Rodák,SVK,GK,26.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Sevilla,Mariano,DOM,FW,29.0,"€ 100,192 (£ 84,645, $107,671)","€ 5,210,000 (£ 4,401,560, $5,598,899)",
Lecce,Marin Pongračić,CRO,DF,25.0,"€ 48,077 (£ 40,617, $51,666)","€ 2,500,000 (£ 2,112,073, $2,686,612)",
Lazio,Mario Gila,ESP,DF,22.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",
Eintracht Frankfurt,Mario Götze,GER,MF,31.0,"€ 67,308 (£ 56,864, $72,332)","€ 3,500,000 (£ 2,956,902, $3,761,256)",
Atlético Madrid,Mario Hermoso,ESP,DF,28.0,"€ 160,192 (£ 135,335, $172,150)","€ 8,330,000 (£ 7,037,426, $8,951,790)",
Wolves,Mario Lemina,GAB,MF,29.0,"£ 45,000 (€ 53,266, $57,242)","£ 2,340,000 (€ 2,769,826, $2,976,570)",Unverified estimation
Atalanta,Mario Pašalić,CRO,MF,28.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Hoffenheim,Marius Bülter,GER,MF,30.0,"€ 40,385 (£ 34,118, $43,399)","€ 2,100,000 (£ 1,774,141, $2,256,754)",Unverified estimation
Dortmund,Marius Wolf,GER,"DF,MF",28.0,"€ 63,462 (£ 53,614, $68,199)","€ 3,300,000 (£ 2,787,936, $3,546,328)",Unverified estimation
Brentford,Mark Flekken,NED,GK,30.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
Newcastle United,Mark Gillespie,ENG,GK,31.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",
