player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Álex Moreno,Aston Villa,Nottingham Forest,Premier League,Premier League,2024-2025,-0.8774128635942109,-0.4100460149820755,False,-0.4673668486121354
Álvaro Aguado,Valladolid,Espanyol,La Liga,La Liga,2024-2025,-1.5708652162489631,0.0566096955587056,False,-1.6274749118076688
Álvaro Fernández,Espanyol,Sevilla,La Liga,La Liga,2024-2025,0.4745187282277587,-0.5177635353435974,False,0.9922822635713562
Álvaro Morata,Atlético Madrid,Milan,La Liga,Serie A,2024-2025,0.4865834369275195,0.4339986805092248,True,0.05258475641829469
Çağlar Söyüncü,Leicester City,Atlético Madrid,Premier League,La Liga,2023-2024,0.1342834255316205,0.6141789964872277,True,-0.4798955709556072
Édgar González,Real Betis,Almería,La Liga,La Liga,2023-2024,-0.0378131086286028,0.3439417422737278,False,-0.38175485090233063
Óscar Rodríguez Arnaiz,Celta Vigo,Getafe,La Liga,La Liga,2023-2024,0.1923749811177284,0.2656480700478738,False,-0.07327308893014536
Óscar Rodríguez Arnaiz,Getafe,Leganés,La Liga,La Liga,2024-2025,0.2656480700478738,0.8185406786453644,False,-0.5528926085974906
Đorđe Petrović,Chelsea,Strasbourg,Premier League,Ligue 1,2024-2025,-0.8539844351130785,0.7981823805961099,True,-1.6521668157091884
İlkay Gündoğan,Manchester City,Barcelona,Premier League,La Liga,2023-2024,-0.3912517038466365,0.0427700804412864,True,-0.4340217842879229
İlkay Gündoğan,Barcelona,Manchester City,La Liga,Premier League,2024-2025,0.0427700804412864,0.0237953234660572,True,0.0189747569752292
